nominal_injection_rate,seed,model,precision,recall,f1,fpr,fnr,alert_rate,tp,fp,fn,tn,ap,auc_roc,recall_delay,n_test_delay,recall_repeat,n_test_repeat,recall_volume,n_test_volume,recall_timestamp,n_test_timestamp
0.05,208,OCSVM,0.16260162601626016,0.7407407407407407,0.26666666666666666,0.5309278350515464,0.25925925925925924,0.5565610859728507,20,103,7,91,0.4268229410955161,0.657598319969454,1.0,7,0.6666666666666666,9,0.6,10,1.0,1.0
0.05,208,RF,0.6875,0.8148148148148148,0.7457627118644068,0.05154639175257732,0.18518518518518517,0.14479638009049775,22,10,5,184,0.7272278094469552,0.9529400534555174,1.0,7,0.5555555555555556,9,1.0,10,0.0,1.0
0.05,208,Rule60s,0.47368421052631576,0.3333333333333333,0.391304347826087,0.05154639175257732,0.6666666666666666,0.08597285067873303,9,10,18,184,,,1.0,7,0.2222222222222222,9,0.0,10,0.0,1.0
0.05,209,IF,0.20149253731343283,0.7105263157894737,0.313953488372093,0.5487179487179488,0.2894736842105263,0.575107296137339,27,107,11,88,0.20631840769357626,0.5442645074224022,1.0,2,0.75,8,0.6923076923076923,26,0.5,2.0
0.05,209,OCSVM,0.2222222222222222,0.5789473684210527,0.32116788321167883,0.39487179487179486,0.42105263157894735,0.4248927038626609,22,77,16,118,0.263154178095518,0.5634278002699056,1.0,2,0.75,8,0.5,26,0.5,2.0
0.05,209,RF,0.7272727272727273,0.631578947368421,0.676056338028169,0.046153846153846156,0.3684210526315789,0.14163090128755365,24,9,14,186,0.7604560103688096,0.8796896086369771,1.0,2,0.0,8,0.8461538461538461,26,0.0,2.0
0.05,209,Rule60s,0.3125,0.13157894736842105,0.18518518518518517,0.05641025641025641,0.868421052631579,0.06866952789699571,5,11,33,184,,,1.0,2,0.0,8,0.11538461538461539,26,0.0,2.0
0.05,210,IF,0.14925373134328357,0.5,0.22988505747126436,0.5816326530612245,0.5,0.5677966101694916,20,114,20,82,0.20675827903035926,0.4887117346938775,1.0,2,0.3333333333333333,9,0.5,28,1.0,1.0
0.05,210,OCSVM,0.17889908256880735,0.975,0.3023255813953488,0.9132653061224489,0.025,0.923728813559322,39,179,1,17,0.22985299277845475,0.5614158163265306,1.0,2,1.0,9,0.9642857142857143,28,1.0,1.0
0.05,210,RF,0.5892857142857143,0.825,0.6875,0.11734693877551021,0.175,0.23728813559322035,33,23,7,173,0.7960943174116522,0.9394770408163265,0.5,2,0.6666666666666666,9,0.9285714285714286,28,0.0,1.0
0.05,210,Rule60s,0.15,0.075,0.1,0.08673469387755102,0.925,0.0847457627118644,3,17,37,179,,,1.0,2,0.1111111111111111,9,0.0,28,0.0,1.0
0.1,201,IF,0.2813688212927757,1.0,0.4391691394658754,0.9895287958115183,0.0,0.9924528301886792,74,189,0,2,0.36574498223352003,0.5363662091410782,1.0,7,1.0,13,1.0,53,1.0,1.0
0.1,201,OCSVM,0.3082706766917293,0.5540540540540541,0.3961352657004831,0.4816753926701571,0.44594594594594594,0.5018867924528302,41,92,33,99,0.4120147002568493,0.5824961086741192,1.0,7,0.46153846153846156,13,0.5283018867924528,53,0.0,1.0
0.1,201,RF,0.7894736842105263,0.8108108108108109,0.8,0.08376963350785341,0.1891891891891892,0.28679245283018867,60,16,14,175,0.8379086797238396,0.910110372152257,1.0,7,0.15384615384615385,13,0.9622641509433962,53,0.0,1.0
0.1,201,Rule60s,0.48148148148148145,0.17567567567567569,0.25742574257425743,0.07329842931937172,0.8243243243243243,0.1018867924528302,13,14,61,177,,,1.0,7,0.07692307692307693,13,0.09433962264150944,53,0.0,1.0
0.1,202,IF,0.28286852589641437,0.922077922077922,0.4329268292682927,0.9424083769633508,0.07792207792207792,0.9365671641791045,71,180,6,11,0.29886500420514395,0.4210240021758347,1.0,5,1.0,10,0.9152542372881356,59,0.6666666666666666,3.0
0.1,202,OCSVM,0.285140562248996,0.922077922077922,0.43558282208588955,0.9319371727748691,0.07792207792207792,0.9291044776119403,71,178,6,13,0.34493107057813177,0.4684843951859659,1.0,5,0.9,10,0.9322033898305084,59,0.6666666666666666,3.0
0.1,202,RF,0.7052631578947368,0.8701298701298701,0.7790697674418605,0.14659685863874344,0.12987012987012986,0.35447761194029853,67,28,10,163,0.8259517963383297,0.9074930305296797,1.0,5,0.6,10,0.9491525423728814,59,0.0,3.0
0.1,202,Rule60s,0.3684210526315789,0.09090909090909091,0.14583333333333334,0.06282722513089005,0.9090909090909091,0.0708955223880597,7,12,70,179,,,1.0,5,0.0,10,0.01694915254237288,59,0.3333333333333333,3.0
0.1,203,IF,0.27756653992395436,0.948051948051948,0.4294117647058823,0.9947643979057592,0.05194805194805195,0.9813432835820896,73,190,4,1,0.30421398850456016,0.47718773373223633,1.0,4,1.0,12,0.9310344827586207,58,1.0,3.0
0.1,203,OCSVM,0.2857142857142857,0.935064935064935,0.4376899696048632,0.9424083769633508,0.06493506493506493,0.9402985074626866,72,180,5,11,0.37028561345009897,0.5283878425239682,1.0,4,0.9166666666666666,12,0.9310344827586207,58,1.0,3.0
0.1,203,RF,0.8548387096774194,0.6883116883116883,0.762589928057554,0.04712041884816754,0.3116883116883117,0.23134328358208955,53,9,24,182,0.8095524747343835,0.8326987148976678,0.75,4,0.0,12,0.8620689655172413,58,0.0,3.0
0.1,203,Rule60s,0.4782608695652174,0.14285714285714285,0.22,0.06282722513089005,0.8571428571428571,0.08582089552238806,11,12,66,179,,,1.0,4,0.3333333333333333,12,0.05172413793103448,58,0.0,3.0
0.1,204,IF,0.27802690582959644,0.9253731343283582,0.42758620689655175,0.8429319371727748,0.07462686567164178,0.8643410852713178,62,161,5,30,0.3564776075835611,0.5458701258107369,1.0,4,0.9375,16,0.9130434782608695,46,1.0,1.0
0.1,204,OCSVM,0.2549019607843137,0.9701492537313433,0.40372670807453415,0.9947643979057592,0.029850746268656716,0.9883720930232558,65,190,2,1,0.3128918592632921,0.4835899038837227,1.0,4,1.0,16,0.9565217391304348,46,1.0,1.0
0.1,204,RF,0.8245614035087719,0.7014925373134329,0.7580645161290323,0.05235602094240838,0.29850746268656714,0.22093023255813954,47,10,20,181,0.811069391653202,0.9072829569430335,1.0,4,0.125,16,0.8913043478260869,46,0.0,1.0
